City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,11.34,99,100,1.79,CA,1725390715
1,adamstown,-25.066,-130.1015,17.28,54,53,7.64,PN,1725390716
2,port elizabeth,-33.918,25.5701,16.84,82,0,2.57,ZA,1725390717
3,waitangi,-43.9535,-176.5597,12.12,98,100,1.34,NZ,1725390718
4,saint-mandrier-sur-mer,43.078,5.929,26.96,76,0,1.54,FR,1725390719
5,hawaiian paradise park,19.5933,-154.9731,27.72,78,40,0.45,US,1725390720
6,aasiaat,68.7098,-52.8699,3.29,81,100,6.52,GL,1725390721
7,hadibu,12.65,54.0333,25.47,78,50,8.7,YE,1725390722
8,stanley,54.868,-1.6985,14.04,80,20,3.6,GB,1725390723
9,untsukul',42.7115,46.7866,19.72,84,0,0.96,RU,1725390725
10,saida,34.8303,0.1517,29.74,46,0,3.94,DZ,1725390726
11,invercargill,-46.4,168.35,5.01,93,67,1.34,NZ,1725390728
12,west island,-12.1568,96.8225,23.99,94,75,5.14,CC,1725390729
13,edinburgh of the seven seas,-37.0676,-12.3116,9.82,57,98,6.11,SH,1725390730
14,sparta,43.9441,-90.8129,24.08,41,0,1.54,US,1725390731
15,sitka,57.0531,-135.33,13.88,81,100,0.99,US,1725390732
16,gokarna,14.55,74.3167,26.02,84,61,3.08,IN,1725390733
17,praia da vitoria,38.7333,-27.0667,21.59,66,8,5.27,PT,1725390734
18,sinabang,2.4803,96.3801,25.65,86,100,2.02,ID,1725390735
19,blackmans bay,-43.0167,147.3167,7.63,81,100,1.34,AU,1725390737
20,iqaluit,63.7506,-68.5145,8.85,70,75,10.29,CA,1725390738
21,bethel,41.3712,-73.414,22.8,42,0,2.06,US,1725390739
22,aleksandrov gay,50.147,48.5704,22.42,21,100,2.23,RU,1725390740
23,okhotsk,59.3833,143.3,11.19,80,89,3.41,RU,1725390741
24,port mathurin,-19.6833,63.4167,22.17,70,23,10.26,MU,1725390742
25,ushuaia,-54.8,-68.3,4.81,56,40,9.26,AR,1725390743
26,hermanus,-34.4187,19.2345,13.22,84,100,5.19,ZA,1725390744
27,taro,-8.3862,115.28,19.35,100,78,0.38,ID,1725390745
28,port-aux-francais,-49.35,70.2167,3.1,86,7,8.13,TF,1725390746
29,grytviken,-54.2811,-36.5092,1.36,98,100,3.52,GS,1725390747
30,uturoa,-16.7333,-151.4333,25.14,76,76,10.96,PF,1725390749
31,santiago de cao,-7.9589,-79.2392,18.07,82,40,5.14,PE,1725390750
32,papatowai,-46.5619,169.4708,4.2,88,23,3.76,NZ,1725390751
33,isafjordur,66.0755,-23.124,6.02,87,75,2.06,IS,1725390752
34,kapa'a,22.0752,-159.319,28.18,79,75,6.69,US,1725390753
35,wailua homesteads,22.0669,-159.378,27.44,83,75,6.69,US,1725390754
36,saint-philippe,-21.3585,55.7679,21.5,84,32,4.24,RE,1725390755
37,kavaratti,10.5669,72.642,27.34,84,100,7.36,IN,1725390756
38,vorgashor,67.5833,63.95,2.51,83,6,2.01,RU,1725390757
39,tandalti,13.0167,31.8667,28.11,66,98,3.77,SD,1725390758
40,broome,42.2506,-75.833,22.88,43,40,2.68,US,1725390537
41,vorkuta,67.5,64.0,2.73,84,8,2.01,RU,1725390761
42,as sulayyil,20.4607,45.5779,35.24,12,100,3.38,SA,1725390762
43,auki,-8.7676,160.7034,23.93,90,100,2.22,SB,1725390765
44,albany,42.6001,-73.9662,23.46,45,0,0.89,US,1725390766
45,quatre cocos,-20.2078,57.7625,22.27,82,44,5.54,MU,1725390767
46,razole,16.4833,81.8333,24.49,97,100,3.84,IN,1725390768
47,kayangel,8.0823,134.7173,29.23,71,100,1.63,PW,1725390769
48,constantia,44.1833,28.65,22.61,83,2,2.08,RO,1725390770
49,leava,-14.3,-178.1667,25.53,73,95,9.2,WF,1725390772
50,tura,25.5198,90.2201,23.69,96,100,1.3,IN,1725390773
51,ludwin,51.3461,22.9058,23.97,56,0,2.06,PL,1725390774
52,ribeira grande,38.5167,-28.7,24.32,53,20,7.2,PT,1725390775
53,kutum,14.2,24.6667,24.99,63,68,2.01,SD,1725390776
54,puerto natales,-51.7236,-72.4875,5.25,60,20,10.29,CL,1725390777
55,vilyuchinsk,52.9306,158.4028,9.15,78,85,3.39,RU,1725390778
56,bardai,11.65,7.2333,21.56,93,100,2.8,NG,1725390779
57,bousse,12.6606,-1.8922,25.71,80,99,3.72,BF,1725390780
58,new norfolk,-42.7826,147.0587,8.29,98,100,1.58,AU,1725390781
59,hithadhoo,-0.6,73.0833,28.31,77,67,4.01,MV,1725390782
60,karachi,24.9056,67.0822,27.9,78,75,3.09,PK,1725390784
61,yuzhno-kurilsk,44.0306,145.8556,16.8,79,6,1.9,RU,1725390785
62,berdigestyakh,62.0989,126.6992,5.68,84,100,1.86,RU,1725390786
63,saudarkrokur,65.7461,-19.6394,5.67,87,91,1.12,IS,1725390787
64,thompson,55.7435,-97.8558,25.09,57,100,1.54,CA,1725390789
65,fort mcmurray,56.7268,-111.381,14.77,72,100,3.6,CA,1725390765
66,remire-montjoly,4.9167,-52.2667,31.02,70,75,5.66,GF,1725390791
67,talnakh,69.4865,88.3972,6.02,88,100,4.83,RU,1725390792
68,ilulissat,69.2167,-51.1,5.01,65,75,7.72,GL,1725390794
69,jamestown,42.097,-79.2353,22.79,40,0,1.79,US,1725390795
70,acarau,-2.8856,-40.12,27.74,66,100,9.05,BR,1725390796
71,verkhnedneprovskiy,54.9813,33.3457,16.4,64,48,2.7,RU,1725390797
72,la ronge,55.1001,-105.2842,16.14,88,100,3.6,CA,1725390798
73,ust-nera,64.5667,143.2,5.46,99,100,1.76,RU,1725390799
74,lebu,-37.6167,-73.65,10.91,75,78,3.49,CL,1725390800
75,vuktyl,63.8567,57.3094,5.19,88,10,2.3,RU,1725390801
76,bredasdorp,-34.5322,20.0403,12.92,87,100,2.4,ZA,1725390802
77,tangalle,6.024,80.7911,26.34,85,100,4.67,LK,1725390803
78,san patricio,28.017,-97.5169,31.97,86,100,5.24,US,1725390804
79,jabat,7.75,168.9751,28.58,78,100,4.85,MH,1725390806
80,perry,37.2506,-83.1999,28.02,44,97,2.23,US,1725390807
81,qaqortoq,60.7167,-46.0333,5.88,97,100,2.05,GL,1725390808
82,inarajan village,13.2736,144.7484,27.54,93,27,3.57,GU,1725390809
83,utrik,11.2278,169.8474,28.62,77,13,6.59,MH,1725390810
84,touros,-5.1989,-35.4608,26.12,67,100,7.74,BR,1725390811
85,akureyri,65.6835,-18.0878,8.96,71,20,6.69,IS,1725390812
86,longyearbyen,78.2186,15.6401,8.91,81,75,1.03,SJ,1725390813
87,margaret river,-33.95,115.0667,14.03,82,99,8.64,AU,1725390814
88,sinop,41.7711,34.8709,19.02,82,100,0.99,TR,1725390815
89,mhamid,29.82,-5.72,37.71,13,0,3.62,MA,1725390816
90,jinghong,21.991,100.7341,21.23,99,89,0.96,CN,1725390818
